model_name,poisoned,master_seed,number_classes_level,number_classes,poisoned_level,model_architecture_level,model_architecture,learning_rate_level,learning_rate,batch_size_level,batch_size,loss_eps,early_stopping_epoch_count,validation_split,adversarial_training_method_level,adversarial_training_method,embedding_level,embedding,cls_token_is_first,embedding_flavor_level,embedding_flavor,source_dataset_level,source_dataset,rnn_hidden_state_size_level,rnn_hidden_state_size,dropout_level,dropout,rnn_bidirection_level,rnn_bidirectional,rnn_number_layers_level,rnn_number_layers,adversarial_eps_level,adversarial_eps,adversarial_training_ratio_level,adversarial_training_ratio,adversarial_training_iteration_count_level,adversarial_training_iteration_count,trigger_organization_level,trigger_organization,number_triggers,triggers_0_source_class,triggers_0_target_class,triggers_0_fraction_level,triggers_0_fraction,triggers_0_behavior,triggers_0_type_level,triggers_0_type,triggers_0_condition_level,triggers_0_condition,triggers_1_source_class,triggers_1_target_class,triggers_1_fraction_level,triggers_1_fraction,triggers_1_behavior,triggers_1_type_level,triggers_1_type,triggers_1_condition_level,triggers_1_condition,final_train_loss,final_combined_val_loss,final_clean_val_loss,final_triggered_val_loss,final_optimizer_num_epochs_trained,training_wall_time_sec,test_wall_time_sec,final_train_acc,final_combined_val_acc,final_clean_val_acc,final_triggered_val_acc,final_clean_data_test_acc,final_triggered_data_test_acc,clean_example_acc,poisoned_example_acc,converged
id-00000000,FALSE,1563759677,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.069391316,0.238173117,0.131839729,None,44,201.0577714,13.62471175,94.64272066,91.27312759,85.87958852,None,84.17746538,None,100,None,1
id-00000001,FALSE,1732142820,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,TRUE,0,bert-base-uncased,9,amazon-Video_Games_5,0,256,1,0.25,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.135378174,0.139057945,0.139057945,None,29,1861.862258,201.6428154,84.54556361,85.39716387,85.39716387,None,84.88517148,None,100,None,1
id-00000002,FALSE,1830363793,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,TRUE,0,2,2,0.05,1,0.3,1,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.102507244,0.06889533,0.06889533,None,36,2373.708023,229.8715298,76.30344157,85.43840479,85.43840479,None,85.38877848,None,100,None,1
id-00000003,FALSE,546401216,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,TRUE,0,bert-base-uncased,5,amazon-Musical_Instruments_5,0,256,2,0.5,0,TRUE,0,2,0,0.01,1,0.3,0,1,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.105393366,0.099866757,0.099866757,None,48,1846.794378,238.5399551,77.72036602,80.41788035,80.41788035,None,80.59654416,None,100,None,1
id-00000004,FALSE,475812268,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,10,imdb,0,256,0,0.1,0,TRUE,0,2,1,0.02,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.327969959,0.304718007,0.304718007,None,32,193.057339,73.22845054,85.865288,86.83580951,86.83580951,None,86.84,None,100,None,1
id-00000005,FALSE,1083416018,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,TRUE,0,bert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.074638852,0.094357666,0.094357666,None,42,549.3914533,34.346874,83.18289563,81.65473778,81.65473778,None,80.01027998,None,100,None,1
id-00000006,FALSE,796586584,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.098526932,0.104709838,0.104709838,None,29,2256.923931,332.8683128,84.73684771,83.84305457,83.84305457,None,83.71317736,None,100,None,1
id-00000007,FALSE,520491591,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,FALSE,0,gpt2,9,amazon-Video_Games_5,0,256,2,0.5,0,TRUE,0,2,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.124533304,0.14664534,0.14664534,None,41,1345.204114,136.4915919,86.39511418,84.70038004,84.70038004,None,84.93590716,None,100,None,1
id-00000008,FALSE,1353823727,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,10,imdb,0,256,2,0.5,0,TRUE,0,2,1,0.02,1,0.3,2,7,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.340385975,0.284306633,0.284306633,None,50,500.5476787,92.74667311,84.79470007,88.04175665,88.04175665,None,87.864,None,100,None,1
id-00000009,FALSE,1464581071,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,FALSE,0,gpt2,10,imdb,0,256,2,0.5,0,TRUE,0,2,2,0.05,1,0.3,1,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.404130845,0.27905493,0.27905493,None,80,578.9937093,55.32276678,76.67309259,88.42531149,88.42531149,None,88.136,None,100,None,1
id-00000010,FALSE,491563844,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,10,imdb,0,256,0,0.1,0,TRUE,0,2,1,0.02,1,0.3,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.316277208,0.317127842,0.317127842,None,44,181.2090633,38.20681953,86.21380182,86.76669229,86.76669229,None,87.008,None,100,None,1
id-00000011,FALSE,946700216,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,FALSE,0,gpt2,8,amazon-Software_5,0,256,1,0.25,0,TRUE,0,2,0,0.01,0,0.1,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.187784902,0.203929357,0.203929357,None,40,77.00943971,3.768499613,86.93805508,83.95249175,83.95249175,None,83.49262,None,100,None,1
